DateTime;Wave (value);Wave (direction);Wave height
11/12/2022;;;0,849680007
11/12/2022;;;0,941335022
11/12/2022;;;0,897033989
11/12/2022;;;0,853914976
11/12/2022;;;0,877122998
11/12/2022;;;0,850668013
11/12/2022;;;0,905625999
11/12/2022;;;0,911566973
11/12/2022;;;0,800535023
11/12/2022;;;0,795538008
11/12/2022;;;0,78924799
11/12/2022;;;0,735669017
11/12/2022;;;0,736379027
11/12/2022;;;0,757589996
11/12/2022;;;0,684576988
11/12/2022;;;0,657149971
11/12/2022;;;0,624514997
11/12/2022;;;0,595758021
11/12/2022;;;0,659449995
11/12/2022;;;0,753549993
11/12/2022;;;0,730911016
11/12/2022;;;0,717031002
11/12/2022;;;0,79697001
11/12/2022;;;0,73100698
11/12/2022;;;0,731441021
11/12/2022;;;0,725124002
11/12/2022;;;0,738681972
11/12/2022;;;0,775249004
11/12/2022;;;0,796383023
11/12/2022;;;0,80785203
11/12/2022;;;0,709689975
11/12/2022;;;0,805853009
11/12/2022;;;0,766376019
11/12/2022;;;0,807830989
11/12/2022;;;0,773433983
11/12/2022;;;0,733659029
11/12/2022;;;0,717743993
11/12/2022;;;0,71895802
12/12/2022;;;0,754100025
12/12/2022;;;0,707696021
12/12/2022;;;0,692075014
12/12/2022;;;0,657738984
12/12/2022;;;0,821821988
12/12/2022;;;0,710263014
12/12/2022;;;0,844640017
12/12/2022;;;0,905194998
12/12/2022;;;0,876587987
12/12/2022;;;0,890218019
12/12/2022;;;0,850759029
12/12/2022;;;0,739143014
12/12/2022;;;0,793986022
12/12/2022;;;0,875838995
12/12/2022;;;0,795709014
12/12/2022;;;0,756838977
12/12/2022;;;0,702754021
12/12/2022;;;0,782837987
12/12/2022;;;0,731828988
12/12/2022;;;0,754000008
12/12/2022;;;0,657266974
12/12/2022;;;0,694172025
12/12/2022;;;0,580657005
12/12/2022;;;0,660152018
12/12/2022;;;0,62885499
12/12/2022;;;0,588064015
12/12/2022;;;0,617900014
12/12/2022;;;0,61818099
12/12/2022;;;0,616846979
12/12/2022;;;0,656794012
12/12/2022;;;0,727602005
12/12/2022;;;0,761225998
12/12/2022;;;0,79746902
12/12/2022;;;0,823633015
12/12/2022;;;0,875771999
12/12/2022;;;0,858246982
12/12/2022;;;0,964303017
12/12/2022;;;0,905327976
12/12/2022;;;0,815838993
12/12/2022;;;0,834774017
12/12/2022;;;0,772500992
12/12/2022;;;0,73605901
12/12/2022;;;0,75603801
12/12/2022;;;0,727998018
12/12/2022;;;0,715985
12/12/2022;;;0,650819004
12/12/2022;;;0,668088019
12/12/2022;;;0,69155103
12/12/2022;;;0,702084005
12/12/2022;;;0,649851978
12/12/2022;;;0,665835023
12/12/2022;;;0,738198996
12/12/2022;;;0,666414022
12/12/2022;;;0,815429986
12/12/2022;;;0,74150598
12/12/2022;;;0,830381989
12/12/2022;;;0,83316803
12/12/2022;;;0,843622029
12/12/2022;;;0,846632004
12/12/2022;;;0,91216898
12/12/2022;;;0,948502004
12/12/2022;;;0,984245002
12/12/2022;;;0,999630988
12/12/2022;;;1,017019987
12/12/2022;;;0,904313028
12/12/2022;;;1,030820012
12/12/2022;;;0,966564
12/12/2022;;;0,950802028
12/12/2022;;;0,955307007
12/12/2022;;;0,965264976
12/12/2022;;;0,879507005
12/12/2022;;;1,087239981
13/12/2022;;;0,792246997
13/12/2022;;;0,79371798
13/12/2022;;;0,760071993
13/12/2022;;;0,81004101
13/12/2022;;;0,737514973
13/12/2022;;;0,984328985
13/12/2022;;;0,797208011
13/12/2022;;;0,809614003
13/12/2022;;;0,828444004
13/12/2022;;;0,824442029
13/12/2022;;;0,876821995
13/12/2022;;;0,824473977
13/12/2022;;;0,921056986
13/12/2022;;;0,774797976
13/12/2022;;;0,815068007
13/12/2022;;;0,801738024
13/12/2022;;;0,783024013
13/12/2022;;;0,807274997
13/12/2022;;;0,791604996
13/12/2022;;;0,834231973
13/12/2022;;;0,712845027
13/12/2022;;;0,704788983
13/12/2022;;;0,66673702
13/12/2022;;;0,663716018
13/12/2022;;;0,737680972
13/12/2022;;;0,707593977
13/12/2022;;;0,708416998
13/12/2022;;;0,640586972
13/12/2022;;;0,688499987
13/12/2022;;;0,683679998
13/12/2022;;;0,713925004
13/12/2022;;;0,708073974
13/12/2022;;;0,655795991
13/12/2022;;;0,724913001
13/12/2022;;;0,70568198
13/12/2022;;;0,682533979
13/12/2022;;;0,669483006
13/12/2022;;;0,685010016
13/12/2022;;;0,687475026
13/12/2022;;;0,784175992
13/12/2022;;;0,698916018
13/12/2022;;;0,710316002
13/12/2022;;;0,694881976
13/12/2022;;;0,682210982
13/12/2022;;;0,688140988
13/12/2022;;;0,729112983
13/12/2022;;;0,676980972
13/12/2022;;;0,728848994
13/12/2022;;;0,726494014
13/12/2022;;;0,755683005
13/12/2022;;;0,824087977
13/12/2022;;;0,836519003
13/12/2022;;;0,841220021
13/12/2022;;;0,872169971
13/12/2022;;;0,911435008
13/12/2022;;;0,865414023
13/12/2022;;;0,822100997
13/12/2022;;;0,890182018
13/12/2022;;;0,900242984
13/12/2022;;;0,817075014
13/12/2022;;;0,797990024
13/12/2022;;;0,846274018
13/12/2022;;;0,874845028
13/12/2022;;;0,831062019
13/12/2022;;;0,822191
13/12/2022;;;0,946725011
13/12/2022;;;0,963177979
13/12/2022;;;0,982980013
13/12/2022;;;0,877093017
13/12/2022;;;0,914366007
13/12/2022;;;0,907595992
13/12/2022;;;0,884328008
14/12/2022;;;0,997350991
14/12/2022;;;1,007279992
14/12/2022;;;1,03508997
14/12/2022;;;1,051360011
14/12/2022;;;1,106899977
14/12/2022;;;1,102599978
14/12/2022;;;1,07889998
14/12/2022;;;1,109529972
14/12/2022;;;1,075860023
14/12/2022;;;1,132550001
14/12/2022;;;1,08434999
14/12/2022;;;1,00225997
14/12/2022;;;1,076159954
14/12/2022;;;1,051480055
14/12/2022;;;1,111750007
14/12/2022;;;0,995482028
14/12/2022;;;1,017429948
14/12/2022;;;1,111070037
14/12/2022;;;0,971291006
14/12/2022;;;0,859521985
14/12/2022;;;0,989848971
14/12/2022;;;0,838663995
14/12/2022;;;1,131669998
14/12/2022;;;1,075330019
14/12/2022;;;0,986236989
14/12/2022;;;1,03508997
14/12/2022;;;0,957606971
14/12/2022;;;1,010159969
14/12/2022;;;0,932923019
14/12/2022;;;0,941901028
14/12/2022;;;0,907021999
14/12/2022;;;0,905942023
14/12/2022;;;0,908981979
14/12/2022;;;0,917200029
14/12/2022;;;0,918897986
14/12/2022;;;0,922387004
14/12/2022;;;0,87264502
14/12/2022;;;0,913908005
14/12/2022;;;0,851270974
14/12/2022;;;0,976427972
14/12/2022;;;0,782356024
14/12/2022;;;0,814307988
14/12/2022;;;0,824446976
14/12/2022;;;0,852883995
14/12/2022;;;0,831422985
14/12/2022;;;0,791741014
14/12/2022;;;0,804158986
14/12/2022;;;0,788691998
14/12/2022;;;0,802899003
14/12/2022;;;0,826667011
14/12/2022;;;0,841702998
14/12/2022;;;0,84277302
14/12/2022;;;0,860534012
14/12/2022;;;0,801625013
14/12/2022;;;0,846073985
14/12/2022;;;0,883235991
14/12/2022;;;0,861352026
14/12/2022;;;0,789478004
14/12/2022;;;0,777625024
14/12/2022;;;0,805124998
14/12/2022;;;0,841036975
14/12/2022;;;0,763207972
14/12/2022;;;0,798251987
14/12/2022;;;0,807739973
14/12/2022;;;0,828294992
14/12/2022;;;0,742431998
14/12/2022;;;0,751257002
14/12/2022;;;0,827755988
14/12/2022;;;0,755452991
14/12/2022;;;0,748946011
14/12/2022;;;0,801129997
14/12/2022;;;0,823587
15/12/2022;;;0,813445985
15/12/2022;;;0,762708008
15/12/2022;;;0,756833971
15/12/2022;;;0,773307025
15/12/2022;;;0,898472011
15/12/2022;;;0,880679011
15/12/2022;;;0,841248989
15/12/2022;;;0,888826013
15/12/2022;;;0,936684012
15/12/2022;;;0,896453023
15/12/2022;;;0,915014982
15/12/2022;;;0,959284008
15/12/2022;;;1,121260047
15/12/2022;;;1,009950042
15/12/2022;;;1,075219989
15/12/2022;;;0,920682013
15/12/2022;;;0,800987005
15/12/2022;;;0,841513991
15/12/2022;;;0,827594995
15/12/2022;;;0,918085992
15/12/2022;;;0,84801501
15/12/2022;;;0,930177987
15/12/2022;;;1,064829946
15/12/2022;;;0,815771997
15/12/2022;;;0,931074977
15/12/2022;;;0,842181981
15/12/2022;;;0,817753017
15/12/2022;;;0,822869003
15/12/2022;;;0,716094017
15/12/2022;;;0,801495016
15/12/2022;;;0,72727102
15/12/2022;;;0,70361799
15/12/2022;;;0,691685975
15/12/2022;;;0,701848984
15/12/2022;;;0,83811003
15/12/2022;;;0,712741017
15/12/2022;;;0,712550998
15/12/2022;;;0,667448997
15/12/2022;;;0,642431021
15/12/2022;;;0,646677017
15/12/2022;;;0,664116025
15/12/2022;;;0,69036299
15/12/2022;;;0,659877002
15/12/2022;;;0,663410008
15/12/2022;;;0,672765017
15/12/2022;;;0,679027975
15/12/2022;;;0,695752025
15/12/2022;;;0,665928006
15/12/2022;;;0,693839014
15/12/2022;;;0,674257994
15/12/2022;;;0,659664989
15/12/2022;;;0,617654026
15/12/2022;;;0,685846984
15/12/2022;;;0,588760018
15/12/2022;;;0,607432008
15/12/2022;;;0,585362971
15/12/2022;;;0,584564984
15/12/2022;;;0,582457006
