DateTime;Wave height
03:12:00;0,866335988
03:33:00;0,859654009
03:52:00;0,749692023
04:12:00;0,80815202
04:33:00;0,859542012
04:52:00;0,825558007
05:13:00;0,775120974
05:33:00;0,741611004
05:52:00;0,814517975
06:13:00;0,737800002
06:32:00;0,763571978
06:52:00;0,667244971
07:13:00;0,698472023
07:32:00;0,591198981
07:53:00;0,671669006
08:13:00;0,623216987
08:32:00;0,607410014
08:53:00;0,625346005
09:12:00;0,618381977
09:32:00;0,622578025
09:53:00;0,678972006
10:12:00;0,717746019
10:33:00;0,774855018
10:53:00;0,808553994
11:12:00;0,821936011
11:33:00;0,871806026
11:52:00;0,853614986
12:12:00;0,978511989
12:33:00;0,917901993
12:52:00;0,848784029
13:13:00;0,853199005
13:33:00;0,808232009
13:52:00;0,760048985
14:13:00;0,777904987
14:32:00;0,749559999
14:52:00;0,726442993
15:13:00;0,657546997
15:32:00;0,663800001
15:53:00;0,712876976
16:13:00;0,712271988
16:32:00;0,658261001
16:53:00;0,679642975
17:12:00;0,734802008
17:32:00;0,707889974
17:53:00;0,823653996
18:12:00;0,730566978
18:33:00;0,819760025
18:53:00;0,848744988
19:12:00;0,848493993
19:33:00;0,836172998
19:52:00;0,920126975
20:12:00;0,903232992
20:33:00;1,005730033
20:52:00;1,000059962
21:13:00;1,037870049
21:33:00;0,944952011
21:52:00;1,051659942
22:13:00;0,98831898
22:32:00;0,954548001
22:52:00;0,98477602
23:13:00;1,026460052
23:32:00;0,919830978
23:53:00;1,089339972
00:13:00;0,804201007
00:32:00;0,800275028
00:53:00;0,75571698
01:12:00;0,849614978
01:32:00;0,753009021
01:53:00;0,950201988
02:12:00;0,805646002
02:33:00;0,793727994
02:53:00;0,837890983
03:12:00;0,797387004
03:33:00;0,88410002
03:52:00;0,824118018
04:12:00;0,935896993
04:33:00;0,823728979
04:52:00;0,857617021
05:13:00;0,828629017
05:33:00;0,802690983
05:52:00;0,807246983
06:13:00;0,835106015
06:32:00;0,825573981
06:52:00;0,707845986
07:13:00;0,711344004
07:32:00;0,669121981
07:53:00;0,689455986
08:13:00;0,729623973
08:32:00;0,73921299
08:53:00;0,740139008
09:12:00;0,645702004
09:32:00;0,704393029
09:53:00;0,692528009
10:12:00;0,716039002
10:33:00;0,706685007
10:53:00;0,663365006
11:12:00;0,731280982
11:33:00;0,712440014
11:52:00;0,688279986
12:12:00;0,674956024
12:33:00;0,70352298
12:52:00;0,687151015
13:13:00;0,79301399
13:33:00;0,712216973
13:52:00;0,712728024
14:13:00;0,718725026
14:32:00;0,685765982
14:52:00;0,698439002
15:13:00;0,733227015
15:32:00;0,698898971
15:53:00;0,73308903
16:13:00;0,712365985
16:32:00;0,737845004
16:53:00;0,867317021
17:12:00;0,854218006
17:32:00;0,85777998
17:53:00;0,864894986
18:12:00;0,925251007
18:33:00;0,886389971
18:53:00;0,835723996
19:12:00;0,88252902
19:33:00;0,923290014
19:52:00;0,853635013
20:12:00;0,812494993
20:33:00;0,872702003
20:52:00;0,892243028
21:13:00;0,824865997
21:33:00;0,846967995
21:52:00;0,966795027
22:13:00;0,986472011
22:32:00;1,001109958
22:52:00;0,909645975
23:13:00;0,925384998
23:32:00;0,913742006
23:53:00;0,929058015
00:13:00;1,039929986
00:32:00;1,046900034
00:53:00;1,042860031
01:12:00;1,087450027
01:32:00;1,13380003
01:53:00;1,151190042
02:12:00;1,113209963
02:33:00;1,168980002
02:53:00;1,137609959
03:12:00;1,207829952
03:33:00;1,157780051
03:52:00;1,059190035
04:12:00;1,10611999
04:33:00;1,106269956
04:52:00;1,15218997
05:13:00;1,044020057
05:33:00;1,04787004
05:52:00;1,103360057
06:13:00;0,993297994
06:32:00;0,864895999
06:52:00;1,001449943
07:13:00;0,85769701
07:32:00;1,170060039
07:53:00;1,102419972
08:13:00;1,005100012
08:32:00;1,115309954
08:53:00;0,996747017
09:12:00;1,031839967
09:32:00;0,938847005
09:53:00;0,978506029
10:12:00;0,931819975
10:33:00;0,905285001
10:53:00;0,915184975
11:12:00;0,95598501
11:33:00;0,928766012
11:52:00;0,948072016
12:12:00;0,905232012
12:33:00;0,948912978
12:52:00;0,888337016
13:13:00;0,970937014
13:33:00;0,810109973
13:52:00;0,860934019
14:13:00;0,833840013
14:32:00;0,851624012
14:52:00;0,84462899
15:13:00;0,787818015
15:32:00;0,83733201
15:53:00;0,820119977
16:13:00;0,80091399
16:32:00;0,836995006
16:53:00;0,827961981
17:12:00;0,858268023
17:32:00;0,855461001
17:53:00;0,829645991
18:12:00;0,862496972
18:33:00;0,892929018
18:53:00;0,840876997
19:12:00;0,820379972
19:33:00;0,809992015
19:52:00;0,822422028
20:12:00;0,812682986
20:33:00;0,786457002
20:52:00;0,805943012
21:13:00;0,817743003
21:33:00;0,790235996
21:52:00;0,728397012
22:13:00;0,735418975
22:32:00;0,800903022
22:52:00;0,72914201
23:13:00;0,75415498
23:32:00;0,784923971
23:53:00;0,78135699
00:13:00;0,784658015
00:32:00;0,753045976
00:53:00;0,741837978
01:12:00;0,742888987
01:32:00;0,872319996
01:53:00;0,86205101
02:12:00;0,850874007
02:33:00;0,884747028
02:53:00;0,937022984
03:12:00;0,883669972
03:33:00;0,906225026
03:52:00;0,905987024
04:12:00;1,067870021
04:33:00;1,018059969
04:52:00;1,024160028
05:13:00;0,922985017
05:33:00;0,790952981
05:52:00;0,855345011
06:13:00;0,81546402
06:32:00;0,891992986
06:52:00;0,835367978
07:13:00;0,93224299
07:32:00;1,020339966
07:53:00;0,797882974
08:13:00;0,926360011
08:32:00;0,818719029
08:53:00;0,768583
09:12:00;0,802550972
09:32:00;0,696542025
09:53:00;0,792176008
10:12:00;0,713065028
10:33:00;0,706444025
10:53:00;0,659734011
11:12:00;0,679841995
11:33:00;0,769626975
11:52:00;0,715551019
12:12:00;0,692524016
12:33:00;0,662256002
12:52:00;0,645130992
13:13:00;0,613178015
13:33:00;0,645244002
13:52:00;0,656571984
14:13:00;0,647312999
14:32:00;0,656620026
14:52:00;0,662268996
15:13:00;0,662181973
15:32:00;0,650283992
15:53:00;0,668003023
16:13:00;0,660732985
16:32:00;0,697360992
16:53:00;0,634370029
